	Data	Id	Label	Median	Signif	Substr	pVal
112	0.135	Median_IFI	2609	0.1375	no	yeast	0.21012184636185915
113	38.84	Median_IFI	2617	23.03	no	yeast	0.01507432264840723
114	1.1	Median_IFI	2618	25.6675	yes	yeast	0.0010528124695498198
115	0.18	Median_IFI	2624	0.38	no	yeast	0.9662789817905177
116	21.535	Median_IFI	2625	21.4875	yes	yeast	0.0027146981449314065
117	0.16	Median_IFI	2634	0.16	no	yeast	0.25124061237500683
118	4.57	Median_IFI	2635	9.645	yes	yeast	0.007283240359214769
119	34.56	Median_IFI	4158	34.56	no	yeast	0.020087775371797546
120	0.2	Median_IFI	4159	16.822499999999998	no	yeast	0.1976673606859452
121	0.46	Median_IFI	emptySplitGal4	0.29	no	yeast	1.0
122	0.11	Median_IFI	0730	0.08	yes	yeast	2.6148780761295688e-05
123	0.16	Median_IFI	0731	0.3175	no	yeast	0.9919495025550509
124	0.06	Median_IFI	0732	0.09	yes	yeast	0.0025722336094205
125	0.25	Median_IFI	0923	0.24	no	yeast	0.30336711089679236
126	0.08	Median_IFI	1046	1.7650000000000001	no	yeast	1.0
127	0.06	Median_IFI	1052	0.245	no	yeast	0.8243330035614154
128	123.34	Median_IFI	1053	34.32	yes	yeast	2.3376174929361633e-05
129	1.25	Median_IFI	1054	2.78	no	yeast	0.16697769998509887
130	123.785	Median_IFI	1063	4.5625	no	yeast	0.1431882794569608
131	4.74	Median_IFI	1073	4.9475	no	yeast	0.0395800036377323
132	0.175	Median_IFI	1075	9.8025	no	yeast	0.06633503470962215
133	0.13	Median_IFI	1077	37.89	yes	yeast	0.0009904370673018516
134	0.23	Median_IFI	1543	35.4975	yes	yeast	0.00018933401878420882
135	35.53	Median_IFI	1545	35.53	yes	yeast	0.00015929835282465745
136	0.1	Median_IFI	1549	0.08	yes	yeast	2.192914645086058e-05
137	0.09	Median_IFI	1550	0.08	yes	yeast	0.00027919356681148735
138	1.255	Median_IFI	1554	32.04	yes	yeast	0.00015328096920419587
139	5.47	Median_IFI	1557	9.81	no	yeast	0.031097226883546433
140	0.085	Median_IFI	1558	4.48	no	yeast	0.07415218567421411
141	44.1	Median_IFI	1561	15.205	no	yeast	0.010200396988761403
142	17.1	Median_IFI	1564	13.87	no	yeast	0.055772593240298284
143	5.51	Median_IFI	1565	2.72	no	yeast	0.18254082760497736
144	26.2	Median_IFI	1566	0.37	no	yeast	0.3690581252054873
145	0.27	Median_IFI	1567	17.1675	no	yeast	0.07378087703526331
146	64.75	Median_IFI	1569	5.81	no	yeast	0.15059516495350958
147	0.21	Median_IFI	1570	0.47	no	yeast	0.33898548926248173
148	55.53	Median_IFI	1575	3.955	no	yeast	0.4279417752220114
149	17.05	Median_IFI	1576	12.7725	no	yeast	0.051962359476181635
150	58.02	Median_IFI	1579	0.98	no	yeast	0.6418304326820448
151	0.33	Median_IFI	1581	12.2	no	yeast	0.023082308423995772
152	0.12	Median_IFI	1587	0.13	no	yeast	0.020600188593029256
153	0.52	Median_IFI	1588	28.09	no	yeast	0.017992950462815085
154	0.26	Median_IFI	1593	0.27	no	yeast	0.7564287268678761
155	57.05	Median_IFI	1597	8.99	no	yeast	0.015334555028483991
156	165.46	Median_IFI	1602	9.1725	yes	yeast	0.007443077254656994
157	0.21	Median_IFI	2111	5.8475	no	yeast	0.32169944283953383
158	0.97	Median_IFI	2257	29.375	yes	yeast	0.003045269625423507
159	108.94	Median_IFI	2259	32.19	yes	yeast	3.2861390837542854e-05
160	56.72	Median_IFI	2278	48.3425	yes	yeast	0.006853944332183471
161	22.605	Median_IFI	2279	51.4	yes	yeast	0.008701954881286887
162	0.15	Median_IFI	2285	9.415	no	yeast	0.17633108920765198
163	2.0	Median_IFI	2310	14.96	yes	yeast	0.008767833437350528
164	0.19	Median_IFI	2316	0.2175	no	yeast	0.679016353812677
165	0.14	Median_IFI	2324	2.55	no	yeast	0.1732873833602846
166	0.07	Median_IFI	2378	2.2675	no	yeast	0.87968308427176
167	64.63	Median_IFI	2384	80.11	yes	yeast	0.0002459035686972138
168	0.14	Median_IFI	2388	9.28	no	yeast	0.3153978084812571
169	17.655	Median_IFI	2391	18.01	yes	yeast	0.0005652765866469772
170	17.88	Median_IFI	2394	0.875	no	yeast	0.8086377565740883
171	10.99	Median_IFI	2538	0.345	no	yeast	0.5610200913327458
172	0.06	Median_IFI	2547	0.855	no	yeast	0.5248671992940548
173	0.18	Median_IFI	2554	8.645	no	yeast	0.17541358133502022
174	0.14	Median_IFI	2608	0.83	no	yeast	0.5259578466084788
175	0.19	Median_IFI	2609	0.1375	no	yeast	0.21012184636185915
176	53.945	Median_IFI	2617	23.03	no	yeast	0.01507432264840723
177	25.78	Median_IFI	2618	25.6675	yes	yeast	0.0010528124695498198
178	0.09	Median_IFI	2624	0.38	no	yeast	0.9662789817905177
179	0.625	Median_IFI	2625	21.4875	yes	yeast	0.0027146981449314065
180	0.1	Median_IFI	2634	0.16	no	yeast	0.25124061237500683
181	2.64	Median_IFI	2635	9.645	yes	yeast	0.007283240359214769
182	3.305	Median_IFI	4158	34.56	no	yeast	0.020087775371797546
183	6.43	Median_IFI	4159	16.822499999999998	no	yeast	0.1976673606859452
